Order ID,Purchase Date,Ship Date,Returned,Return Date,Continent,Country,City,Store ID,Store Name,Store Type,Channel,Priority,Payment Method,Promotion ID,Promotion Name,Customer ID,Customer Segment,Loyalty Tier,Salesperson ID,Salesperson Department,Product ID,SKU,Product Name,Category,Subcategory,Brand,Quantity,Unit Cost,Unit Price,Discount Amount,Tax Amount,Shipping Cost,Gross Sales,Net Sales,COGS,Gross Profit
O900000,2024-10-20,2024-10-24,No,,Africa,Kenya,Kisumu,S008,Tech & Home - Kisumu,Warehouse,Online,Normal,Card,LOYALTY5,Loyalty 5%,C00776,Family,Bronze,E0052,Corporate,P0141,SKU-100140,Local Beverages Eco,Grocery,Beverages,Local,4,11,13,4,7,0,52,48,44,4
O900001,2024-02-16,,No,,Europe,United Kingdom,London,S016,Everyday Store - London,Mall,In-Store,Normal,Cash,BUNDLE12,Bundle 12%,C00037,Student,Silver,E0014,New Sales,P0168,SKU-100167,Russell Hobbs Kitchen Premium,Home,Kitchen,Russell Hobbs,4,905,1099,747,292,0,4396,3649,3620,29
O900002,2024-04-24,2024-05-01,No,,Europe,United Kingdom,London,S017,ValueMart - London,High Street,Partner,Low,Card,BUNDLE12,Bundle 12%,C00424,Budget,Gold,E0059,New Sales,P0144,SKU-100143,Belkin Accessories Basic,Electronics,Accessories,Belkin,1,824,1431,243,95,60,1431,1188,824,364
O900003,2024-11-20,2024-11-27,No,,North America,United States,Chicago,S012,Main Street Retail - Chicago,Outlet,Online,Normal,Card,BUNDLE12,Bundle 12%,C00234,Budget,None,E0013,Corporate,P0116,SKU-100115,Bosch Appliances Value,Home,Appliances,Bosch,2,1070,1402,393,193,45,2804,2411,2140,271
O900004,2024-05-10,2024-05-15,No,,Africa,South Africa,Cape Town,S002,Everyday Store - Cape Town,Outlet,Online,Normal,EFT,NONE,No Promotion,C01009,Budget,Gold,E0018,Corporate,P0043,SKU-100042,LG Appliances Premium,Home,Appliances,LG,1,144,199,6,29,30,199,193,144,49
O900005,2024-03-04,,No,,Africa,Kenya,Mombasa,S007,Tech & Home - Mombasa,Warehouse,In-Store,Normal,EFT,LOYALTY5,Loyalty 5%,C00221,Family,None,E0054,Corporate,P0087,SKU-100086,Local Women Value (S),Clothing,Women,Local,4,89,131,42,72,0,524,482,356,126
O900006,2024-10-26,2024-10-30,No,,Europe,United Kingdom,London,S017,ValueMart - London,High Street,Online,High,Cash,WEEKEND10,Weekend 10%,C01022,Family,Bronze,E0001,Upgrades,P0035,SKU-100034,Anker Accessories Max,Electronics,Accessories,Anker,4,925,1341,805,365,80,5364,4559,3700,859
O900007,2024-12-20,,No,,Africa,South Africa,Pretoria,S005,ValueMart - Pretoria,Warehouse,In-Store,High,Card,WEEKEND10,Weekend 10%,C00794,Enterprise,None,E0042,Upgrades,P0027,SKU-100026,Logitech Accessories Air,Electronics,Accessories,Logitech,4,1215,2068,993,1092,0,8272,7279,4860,2419
O900008,2024-09-19,,No,,North America,United States,Austin,S011,City Outlet - Austin,Mall,In-Store,High,Card,BUNDLE12,Bundle 12%,C00928,Business,None,E0018,Corporate,P0076,SKU-100075,Belkin Accessories Plus,Electronics,Accessories,Belkin,1,1268,1760,246,121,0,1760,1514,1268,246
O900009,2024-12-10,,No,,Europe,United Kingdom,Manchester,S018,ValueMart - Manchester,High Street,In-Store,Normal,EFT,WEEKEND10,Weekend 10%,C00446,Family,Silver,E0026,Customer Care,P0162,SKU-100161,Google Phones Air,Electronics,Phones,Google,1,1068,1278,192,87,0,1278,1086,1068,18
O900010,2024-12-29,2025-01-02,No,,Europe,United Kingdom,Birmingham,S021,Main Street Retail - Birmingham,High Street,Online,High,Card,LOYALTY5,Loyalty 5%,C00237,Family,Silver,E0046,Customer Care,P0083,SKU-100082,Bosch Appliances Value,Home,Appliances,Bosch,1,731,1092,55,83,80,1092,1037,731,306
O900011,2024-03-23,2024-03-26,No,,Africa,South Africa,Johannesburg,S001,ValueMart - Johannesburg,High Street,Online,Normal,Card,NONE,No Promotion,C00298,Student,None,E0007,Upgrades,P0098,SKU-100097,Logitech Accessories Max,Electronics,Accessories,Logitech,1,492,872,17,128,45,872,855,492,363
O900012,2024-04-24,,No,,Europe,United Kingdom,Manchester,S018,ValueMart - Manchester,High Street,In-Store,Normal,Wallet,BUNDLE12,Bundle 12%,C00735,Enterprise,Gold,E0058,Customer Care,P0009,SKU-100008,Apple Tablets Basic,Electronics,Tablets,Apple,3,1395,2251,1013,459,0,6753,5740,4185,1555
